Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/1/3,-92497290.53509888,-1308.774211939989,877.6380800849375,5429.080078,47.28787879,1.0416,1.2256,117.68,2.45,4.764127873,-0.666666667,148.9103731
2017/1/4,-92497290.53509888,-1307.6011615216307,877.4087556718058,5477.0,47.28787879,1.0476,1.2299,117.38,2.46,4.759156974,-0.633333333,148.9367463
2017/1/5,-92497290.53509888,-1306.4281076647762,877.179424546316,5487.939941,47.28787879,1.0598,1.2415,115.46,2.37,4.754186075,-0.6,148.9631194
2017/1/6,-92497290.53509888,-1305.255053588556,876.9500935654165,5521.060059,47.28787879,1.056,1.2314,116.85,2.42,4.749215176,-0.566666667,148.9894925
2017/1/9,-92497290.53509888,-1304.082003390965,876.7207690067542,5531.819824,47.28787879,1.0576,1.2167,116.07,2.38,4.744244277,-0.533333333,149.0158657
2017/1/10,-92497290.53509888,-1302.9089493944784,876.4914380045481,5551.819824,47.28787879,1.0572,1.2165,115.74,2.38,4.739273378,-0.5,149.0422388
2017/1/11,-92497290.53509888,-1301.735895537623,876.2621068790587,5563.649902,47.28787879,1.0501,1.2118,116.26,2.38,4.734302479,-0.466666667,149.0686119
2017/1/12,-92497290.53509888,-1300.5628453392396,876.0327823202829,5547.490234,47.28787879,1.0666,1.2211,113.87,2.36,4.72933158,-0.433333333,149.0949851
2017/1/13,-92497290.53509888,-1299.3897912638122,875.8034513394954,5574.120117,47.28787879,1.0625,1.2198,115.03,2.4,4.724360681,-0.4,149.1213582
2017/1/17,-92497290.53509888,-1297.0436917597808,875.3447939523115,5538.72998,47.28787879,1.0695,1.2388,112.96,2.33,4.714418884,-0.333333333,149.1741045
2017/1/18,-92497290.53509888,-1295.8706379035357,875.1154628257682,5555.649902,47.28787879,1.0682,1.2309,113.4,2.42,4.709447985,-0.3,149.2004776
2017/1/19,-92497290.53509888,-1294.697583828108,874.8861318449807,5540.080078,47.28787879,1.063,1.2319,115.3,2.47,4.704477086,-0.266666667,149.2268507
