Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/1/5,0.409748976,2017/1/4,0.468661373,0.523009866,0.458655587,0.58812875,0.480134457,0.673366834,0.539310345,0.591594828,0.525423729,0.345937707,0.516344086,0.12350031
2017/1/6,0.35319986,2017/1/5,0.468661373,0.52300987,0.458655607,0.566768726,0.480134457,0.829145729,0.64,0.417025862,0.355932203,0.345937707,0.516344086,0.123499969
2017/1/9,0.368279721,2017/1/6,0.468661373,0.523009865,0.458655595,0.579580228,0.480134457,0.427135678,0.340689655,0.773706897,0.593220339,0.345937707,0.516344086,0.123499969
2017/1/10,0.365766212,2017/1/9,0.468661373,0.523009868,0.458655595,0.566664654,0.480134457,0.56281407,0.277241379,0.53987069,0.440677966,0.345937707,0.516344086,0.12350031
2017/1/11,0.292881076,2017/1/10,0.468661373,0.523009874,0.458655595,0.572001911,0.480134457,0.512562814,0.477241379,0.588362069,0.508474576,0.345937707,0.516344086,0.123499969
2017/1/12,0.340633242,2017/1/11,0.468661373,0.52300987,0.458655607,0.567282878,0.480134457,0.344221106,0.415172414,0.679956897,0.508474576,0.345937707,0.516344086,0.123499969
2017/1/13,0.359483168,2017/1/12,0.468661373,0.523009872,0.458655594,0.551115707,0.480134457,0.93718593,0.608275862,0.36637931,0.474576271,0.345937707,0.516344086,0.12350031
2017/1/17,0.31173087,2017/1/13,0.468661373,0.523009862,0.458655596,0.575831401,0.480134457,0.41959799,0.462068966,0.748922414,0.576271186,0.345937707,0.516344086,0.123499969
2017/1/18,0.365766212,2017/1/17,0.468661373,0.523022459,0.461936632,0.540007987,0.480134457,0.698492462,0.742068966,0.400862069,0.389830508,0.339712772,0.517849462,0.213341541
2017/1/19,0.328067022,2017/1/18,0.468661373,0.523009871,0.458655603,0.570222825,0.480134457,0.489949749,0.371034483,0.671336207,0.661016949,0.345937707,0.516344086,0.123499969
2017/1/20,0.37833283,2017/1/19,0.468661373,0.523009862,0.458655596,0.551456407,0.480134457,0.391959799,0.493793103,0.828663793,0.593220339,0.345937707,0.516344086,0.123499969
2017/1/23,0.330580398,2017/1/20,0.468661373,0.523009872,0.458655594,0.569258261,0.480134457,0.798994975,0.708965517,0.365301724,0.525423729,0.345937707,0.517849462,0.12350031
2017/1/24,0.330580134,2017/1/23,0.468661373,0.52300987,0.458655607,0.559069133,0.480134457,0.522613065,0.48,0.623922414,0.389830508,0.345937707,0.516344086,0.123499969
2017/1/25,0.387129383,2017/1/24,0.468661373,0.523009874,0.458655595,0.588186568,0.480134457,0.545226131,0.543448276,0.702586207,0.610169492,0.345937707,0.516344086,0.123499969
2017/1/26,0.368279721,2017/1/25,0.468661373,0.523009868,0.458655595,0.592437702,0.480134457,0.507537688,0.602758621,0.620689655,0.610169492,0.345937707,0.516344086,0.12350031
2017/1/27,0.38712925,2017/1/26,0.468661373,0.523009865,0.458655595,0.559779865,0.480134457,0.33919598,0.423448276,0.742456897,0.474576271,0.345937707,0.516344086,0.123499969
2017/1/30,0.355712971,2017/1/27,0.468661373,0.52300987,0.458655607,0.563684094,0.480134457,0.572864322,0.413793103,0.673491379,0.474576271,0.345937707,0.516344086,0.12350031
2017/1/31,0.422315461,2017/1/30,0.468661373,0.523009866,0.458655587,0.533261677,0.480134457,0.5,0.406896552,0.483836207,0.508474576,0.345937707,0.516344086,0.123499969
2017/2/1,0.361996412,2017/1/31,0.468661373,0.523009867,0.458655603,0.561073565,0.480134457,0.806532663,0.627586207,0.501077586,0.440677966,0.345937707,0.51483871,0.123499969
