Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/1/5,0.409748976,2017/1/4,0,0.525377587,0.027396652,0.004508684,0.277413752,0.299442897,0.439790576,0.314164905,0.520107239,0.105688463,0.207621758,0.000395293
2017/1/6,0.35319986,2017/1/5,0,0.525379145,0.027820216,0.005538,0.277413752,0.341922006,0.471755304,0.273572939,0.495978552,0.105269076,0.207779886,0.000790585
2017/1/9,0.368279721,2017/1/6,0,0.525380702,0.028243779,0.008654202,0.277413752,0.328690808,0.443923946,0.302959831,0.509383378,0.104849689,0.207938014,0.001185877
2017/1/10,0.365766212,2017/1/9,0,0.525382259,0.028667341,0.009666566,0.277413752,0.334261838,0.403416919,0.286469345,0.498659517,0.104430302,0.208096142,0.00158117
2017/1/11,0.292881076,2017/1/10,0,0.525383817,0.029090904,0.011548324,0.277413752,0.332869081,0.402865803,0.2794926,0.498659517,0.104010915,0.208254269,0.001976462
2017/1/12,0.340633242,2017/1/11,0,0.525385375,0.029514468,0.012661391,0.277413752,0.308147632,0.389914577,0.290486258,0.498659517,0.103591528,0.208412397,0.002371754
2017/1/13,0.359483168,2017/1/12,0,0.525386932,0.029938031,0.011140962,0.277413752,0.365598886,0.415541471,0.239957717,0.493297587,0.103172141,0.208570525,0.002767048
2017/1/17,0.31173087,2017/1/13,0,0.525388489,0.030361593,0.013646511,0.277413752,0.35132312,0.411959217,0.26448203,0.504021448,0.102752754,0.208728653,0.003162339
2017/1/18,0.365766212,2017/1/17,0,0.525391603,0.031208719,0.010316728,0.277413752,0.375696379,0.464315238,0.220718816,0.485254692,0.10191398,0.209044908,0.003952925
2017/1/19,0.328067022,2017/1/18,0,0.525393161,0.031632282,0.011908688,0.277413752,0.371169916,0.442546156,0.230021142,0.509383378,0.101494593,0.209203036,0.004348216
2017/1/20,0.37833283,2017/1/19,0,0.525394718,0.032055845,0.010443756,0.277413752,0.353064067,0.445301736,0.270190275,0.522788204,0.101075206,0.209361164,0.004743508
2017/1/23,0.330580398,2017/1/20,0,0.525396275,0.032479407,0.011878596,0.277413752,0.391364903,0.491044365,0.219450317,0.525469169,0.100655819,0.209677419,0.005138802
2017/1/24,0.330580134,2017/1/23,0,0.525397833,0.032902971,0.011653713,0.277413752,0.391364903,0.491044365,0.219450317,0.506702413,0.100236432,0.209835547,0.005534094
2017/1/25,0.387129383,2017/1/24,0,0.525399391,0.033326534,0.016171816,0.277413752,0.394498607,0.503720033,0.234883721,0.522788204,0.099817045,0.209993675,0.005929385
2017/1/26,0.368279721,2017/1/25,0,0.525400948,0.033750096,0.021382392,0.277413752,0.392409471,0.528244696,0.234249471,0.538873995,0.099397658,0.210151803,0.006324679
2017/1/27,0.38712925,2017/1/26,0,0.525402505,0.034173659,0.021273281,0.277413752,0.366991643,0.516946817,0.257505285,0.533512064,0.098978271,0.21030993,0.006719971
